,jobId,state
0,38098375,New South Wales
1,38259053,Australian Capital Territory
2,38267899,New South Wales
3,38267995,New South Wales
4,38269206,New South Wales
5,38269216,New South Wales
6,38270740,New South Wales
7,38272439,New South Wales
8,38273974,Victoria
9,38274601,New South Wales
10,38278746,Australian Capital Territory
11,38278747,Australian Capital Territory
12,38280450,Australian Capital Territory
13,38280451,Australian Capital Territory
14,38282551,New South Wales
15,38283702,Western Australia
16,38284724,New South Wales
17,38285286,New South Wales
18,38285477,Victoria
19,38288026,New South Wales
20,38289785,Victoria
21,38291214,New South Wales
22,38299223,New South Wales
23,38305435,Australian Capital Territory
24,38305440,Queensland
25,38305803,New South Wales
26,38305983,New South Wales
27,38306688,New South Wales
28,38307963,New South Wales
29,38314661,Victoria
30,38314694,New South Wales
31,38315204,New South Wales
32,38315554,New South Wales
33,38316571,New South Wales
34,38318403,Australian Capital Territory
35,38320662,Victoria
36,38320858,New South Wales
37,38322210,New South Wales
38,38324346,New South Wales
39,38324745,Australian Capital Territory
40,38325029,New South Wales
41,38326190,New South Wales
42,38329034,New South Wales
43,38331193,Victoria
44,38331270,New South Wales
45,38331485,Victoria
46,38332258,Victoria
47,38334247,New South Wales
48,38335998,Victoria
49,38337655,New South Wales
50,38338855,Victoria
51,38339334,Australian Capital Territory
52,38339335,Australian Capital Territory
53,38339474,Australian Capital Territory
54,38339475,Australian Capital Territory
55,38342340,Victoria
56,38342422,Queensland
57,38343393,Western Australia
58,38347861,Victoria
59,38350683,New South Wales
60,38353752,New South Wales
61,38353759,New South Wales
62,38353809,New South Wales
63,38362895,New South Wales
64,38363396,New South Wales
65,38363508,New South Wales
66,38363660,New South Wales
67,38363751,New South Wales
68,38365859,Western Australia
69,38366703,New South Wales
70,38366878,New South Wales
71,38372570,Victoria
72,38376088,New South Wales
73,38376565,New South Wales
74,38376919,Victoria
75,38377852,New South Wales
76,38378406,Victoria
77,38380671,New South Wales
78,38383430,New South Wales
79,38387405,New South Wales
80,38387560,New South Wales
81,38390470,New South Wales
82,38391902,New South Wales
83,38393969,Western Australia
84,38400083,New South Wales
85,38400254,Western Australia
86,38403750,Australian Capital Territory
87,38406493,Victoria
88,38408709,Victoria
89,38413087,New South Wales
90,38414091,New South Wales
91,38416895,Northern Territories
92,38424264,Victoria
93,38427134,New South Wales
94,38435919,Victoria
95,38437124,New South Wales
96,38443865,New South Wales
97,38443866,New South Wales
98,38447004,Victoria
99,38448100,Victoria
100,38448110,Victoria
101,38451658,New South Wales
102,38452547,New South Wales
103,38453505,Victoria
104,38454683,New South Wales
105,38455824,New South Wales
106,38456114,New South Wales
107,38458030,New South Wales
108,38460327,South Australia
109,38460336,Victoria
110,38461297,New South Wales
111,38461362,Victoria
112,38461920,Victoria
113,38463715,New South Wales
114,38464880,Queensland
115,38465272,New South Wales
116,38468314,Victoria
117,38470453,Queensland
118,38470867,New South Wales
119,38472025,Victoria
120,38477448,Victoria
121,38477464,Queensland
122,38477474,New South Wales
123,38477547,New South Wales
124,38483932,Victoria
125,38484869,New South Wales
126,38487347,Victoria
127,38487380,New South Wales
128,38487437,Queensland
129,38487720,New South Wales
130,38488757,New South Wales
131,38490404,Queensland
132,38490423,Victoria
133,38490810,New South Wales
134,38492604,New South Wales
135,38494885,Victoria
136,38495208,Victoria
137,38497216,New South Wales
138,38497540,Victoria
139,38500467,Queensland
140,38500468,Queensland
141,38502353,New South Wales
142,38502572,New South Wales
143,38503594,New South Wales
144,38503756,South Australia
145,38507417,Victoria
146,38508350,New South Wales
147,38508883,Australian Capital Territory
148,38508909,Australian Capital Territory
149,38509159,Victoria
150,38510416,Australian Capital Territory
151,38512905,Australian Capital Territory
152,38513017,Australian Capital Territory
153,38513440,Victoria
154,38513493,Australian Capital Territory
155,38513903,Queensland
156,38514125,Victoria
157,38514541,Queensland
158,38514752,New South Wales
159,38516648,Tasmania
160,38516649,Tasmania
161,38516691,Victoria
162,38516905,Queensland
163,38516956,New South Wales
164,38517767,New South Wales
165,38517976,New South Wales
166,38518570,Australian Capital Territory
167,38518667,Queensland
168,38519752,Western Australia
169,38520146,Victoria
170,38520402,Victoria
171,38520425,New South Wales
172,38520862,Victoria
173,38520932,Queensland
174,38523222,Australian Capital Territory
175,38523726,Victoria
176,38526989,New South Wales
177,38535222,Queensland
178,38535411,New South Wales
179,38537973,Australian Capital Territory
180,38537974,Australian Capital Territory
181,38540886,New South Wales
182,38540887,New South Wales
183,38542288,New South Wales
184,38542822,New South Wales
185,38544594,New South Wales
186,38544742,New South Wales
187,38547260,Western Australia
188,38547389,Victoria
189,38547503,Victoria
190,38549522,New South Wales
191,38551256,Queensland
192,38552087,Victoria
193,38555954,Australian Capital Territory
194,38556033,Australian Capital Territory
195,38556208,Australian Capital Territory
196,38556593,Australian Capital Territory
197,38556858,Australian Capital Territory
198,38557632,Australian Capital Territory
199,38557703,Australian Capital Territory
200,38557768,Australian Capital Territory
201,38560763,Queensland
202,38561225,Queensland
203,38563152,Western Australia
204,38564258,New South Wales
205,38564366,New South Wales
206,38565311,Queensland
207,38565312,Queensland
208,38567310,New South Wales
209,38575855,Victoria
210,38578631,Victoria
211,38579276,New South Wales
212,38579658,Australian Capital Territory
213,38580429,South Australia
214,38584443,New South Wales
215,38585384,Victoria
216,38587859,Victoria
217,38587951,Victoria
218,38590660,Western Australia
219,38593234,New South Wales
220,38594055,New South Wales
221,38595275,Victoria
222,38604629,New South Wales
223,38604706,New South Wales
224,38605485,New South Wales
225,38605486,New South Wales
226,38605978,Victoria
227,38611243,New South Wales
228,38611983,New South Wales
229,38614543,New South Wales
230,38614567,Western Australia
231,38616110,South Australia
232,38618566,New South Wales
233,38619214,Western Australia
234,38623164,Victoria
235,38623838,Western Australia
236,38627600,New South Wales
237,38631105,New South Wales
238,38632917,New South Wales
239,38633126,Queensland
240,38633230,Victoria
241,38641856,South Australia
242,38642611,Victoria
243,38642612,Victoria
244,38644875,Australian Capital Territory
245,38648773,Victoria
246,38648941,Victoria
247,38648949,Queensland
248,38650280,New South Wales
249,38651049,South Australia
250,38651082,Queensland
251,38651083,South Australia
252,38651167,New South Wales
253,38651355,Victoria
254,38651465,Queensland
255,38651641,Queensland
256,38651832,South Australia
257,38651833,South Australia
