,jobId,Industry,Departments,workType
0,38098375,Science & Technology,Biological & Biomedical Sciences,Full Time
1,38259053,Information & Communication Technology,Other,Full Time
2,38267899,Information & Communication Technology,Database Development & Administration,Full Time
3,38267995,Banking & Financial Services,Compliance & Risk,Full Time
4,38269206,Information & Communication Technology,Database Development & Administration,Contract/Temp
5,38269216,Information & Communication Technology,Database Development & Administration,Contract/Temp
6,38270740,Banking & Financial Services,Analysis & Reporting,Full Time
7,38272439,Banking & Financial Services,Analysis & Reporting,Full Time
8,38273974,Information & Communication Technology,Consultants,Full Time
9,38274601,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
10,38278746,Science & Technology,Other,Full Time
11,38278747,Education & Training,Other,Full Time
12,38280450,Information & Communication Technology,Database Development & Administration,Contract/Temp
13,38280451,Government & Defence,Government - Federal,Contract/Temp
14,38282551,Education & Training,Management - Universities,Contract/Temp
15,38283702,Information & Communication Technology,Other,Contract/Temp
16,38284724,Information & Communication Technology,Database Development & Administration,Contract/Temp
17,38285286,Information & Communication Technology,Business/Systems Analysts,Full Time
18,38285477,Information & Communication Technology,Engineering - Software,Full Time
19,38288026,Information & Communication Technology,Business/Systems Analysts,Contract/Temp
20,38289785,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
21,38291214,Marketing & Communications,Digital & Search Marketing,Full Time
22,38299223,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
23,38305435,Government & Defence,Government - Federal,Full Time
24,38305440,"Mining, Resources & Energy",Management,Full Time
25,38305803,Information & Communication Technology,Database Development & Administration,Full Time
26,38305983,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
27,38306688,Information & Communication Technology,Other,Full Time
28,38307963,Information & Communication Technology,Consultants,Full Time
29,38314661,Science & Technology,Biological & Biomedical Sciences,Full Time
30,38314694,Information & Communication Technology,Database Development & Administration,Contract/Temp
31,38315204,Information & Communication Technology,Database Development & Administration,Contract/Temp
32,38315554,Information & Communication Technology,Consultants,Contract/Temp
33,38316571,Information & Communication Technology,Developers/Programmers,Contract/Temp
34,38318403,Government & Defence,Government - Federal,Contract/Temp
35,38320662,Information & Communication Technology,Other,Full Time
36,38320858,Banking & Financial Services,Analysis & Reporting,Full Time
37,38322210,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
38,38324346,Information & Communication Technology,Consultants,Contract/Temp
39,38324745,Information & Communication Technology,Consultants,Contract/Temp
40,38325029,Information & Communication Technology,Developers/Programmers,Full Time
41,38326190,Science & Technology,Food Technology & Safety,Full Time
42,38329034,Science & Technology,Biological & Biomedical Sciences,Full Time
43,38331193,Information & Communication Technology,Other,Full Time
44,38331270,Information & Communication Technology,Developers/Programmers,Contract/Temp
45,38331485,Information & Communication Technology,Other,Full Time
46,38332258,Information & Communication Technology,Engineering - Software,Full Time
47,38334247,Information & Communication Technology,Other,Full Time
48,38335998,Information & Communication Technology,Web Development & Production,Full Time
49,38337655,Information & Communication Technology,Database Development & Administration,Full Time
50,38338855,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
51,38339334,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
52,38339335,Government & Defence,Government - Federal,Full Time
53,38339474,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
54,38339475,Government & Defence,Government - Federal,Full Time
55,38342340,Information & Communication Technology,Telecommunications,Full Time
56,38342422,Science & Technology,"Environmental, Earth & Geosciences",Full Time
57,38343393,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
58,38347861,Information & Communication Technology,Developers/Programmers,Full Time
59,38350683,Information & Communication Technology,Developers/Programmers,Contract/Temp
60,38353752,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
61,38353759,Science & Technology,"Mathematics, Statistics & Information Sciences",Full Time
62,38353809,Information & Communication Technology,Developers/Programmers,Full Time
63,38362895,Information & Communication Technology,Engineering - Software,Full Time
64,38363396,Information & Communication Technology,Other,Full Time
65,38363508,Information & Communication Technology,Consultants,Full Time
66,38363660,Information & Communication Technology,Other,Full Time
67,38363751,Information & Communication Technology,Developers/Programmers,Contract/Temp
68,38365859,Information & Communication Technology,Business/Systems Analysts,Full Time
69,38366703,Information & Communication Technology,Engineering - Software,Full Time
70,38366878,Consulting & Strategy,Other,Full Time
71,38372570,Information & Communication Technology,Web Development & Production,Full Time
72,38376088,Information & Communication Technology,Other,Full Time
73,38376565,Marketing & Communications,Market Research & Analysis,Full Time
74,38376919,Information & Communication Technology,Other,Full Time
75,38377852,Consulting & Strategy,Analysts,Contract/Temp
